DateKey,Date,Year,Quarter,Month,MonthName,MonthYear,Week,Day,DayOfWeek,IsWeekend,FiscalYear,Season,IsFestivalWindow
20220624,2022-06-24,2022,2,6,Jun,Jun-2022,25,24,Friday,False,FY23,Monsoon,False
20220625,2022-06-25,2022,2,6,Jun,Jun-2022,25,25,Saturday,True,FY23,Monsoon,False
20220626,2022-06-26,2022,2,6,Jun,Jun-2022,25,26,Sunday,True,FY23,Monsoon,False
20220627,2022-06-27,2022,2,6,Jun,Jun-2022,26,27,Monday,False,FY23,Monsoon,False
20220628,2022-06-28,2022,2,6,Jun,Jun-2022,26,28,Tuesday,False,FY23,Monsoon,False
20220629,2022-06-29,2022,2,6,Jun,Jun-2022,26,29,Wednesday,False,FY23,Monsoon,False
20220630,2022-06-30,2022,2,6,Jun,Jun-2022,26,30,Thursday,False,FY23,Monsoon,False
20220701,2022-07-01,2022,3,7,Jul,Jul-2022,26,1,Friday,False,FY23,Monsoon,False
20220702,2022-07-02,2022,3,7,Jul,Jul-2022,26,2,Saturday,True,FY23,Monsoon,False
20220703,2022-07-03,2022,3,7,Jul,Jul-2022,26,3,Sunday,True,FY23,Monsoon,False
20220704,2022-07-04,2022,3,7,Jul,Jul-2022,27,4,Monday,False,FY23,Monsoon,False
20220705,2022-07-05,2022,3,7,Jul,Jul-2022,27,5,Tuesday,False,FY23,Monsoon,False
20220706,2022-07-06,2022,3,7,Jul,Jul-2022,27,6,Wednesday,False,FY23,Monsoon,False
20220707,2022-07-07,2022,3,7,Jul,Jul-2022,27,7,Thursday,False,FY23,Monsoon,False
20220708,2022-07-08,2022,3,7,Jul,Jul-2022,27,8,Friday,False,FY23,Monsoon,False
20220709,2022-07-09,2022,3,7,Jul,Jul-2022,27,9,Saturday,True,FY23,Monsoon,False
20220710,2022-07-10,2022,3,7,Jul,Jul-2022,27,10,Sunday,True,FY23,Monsoon,False
20220711,2022-07-11,2022,3,7,Jul,Jul-2022,28,11,Monday,False,FY23,Monsoon,False
20220712,2022-07-12,2022,3,7,Jul,Jul-2022,28,12,Tuesday,False,FY23,Monsoon,False
20220713,2022-07-13,2022,3,7,Jul,Jul-2022,28,13,Wednesday,False,FY23,Monsoon,False
